year,resource,variable,units,magnitude,source,data_value,flag
2010,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1328154,R
2010,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,125717,R
2010,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,116310,R
2010,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7530104,R
2010,Hydro,Generation,Gigawatt hours,Actual,MBIE,24194,F
2010,Hydro,Gigawatt hours,Number,Percent,MBIE,57,F
2010,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,7069849,R
2010,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,460255,R
2010,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,602408,R
2010,Oil,Generation,Gigawatt hours,Actual,MBIE,9,F
2010,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,9705226,R
2010,Renewable,Generation,Gigawatt hours,Actual,MBIE,31182,F
2010,Renewable,Gigawatt hours,Number,Percent,MBIE,74,R
2010,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,8958433,R
2010,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,746793,R
2010,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,776418,R
2010,Renewable,Resource rent,Number,Percent,Environmental Accounts,74,R
2010,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1125,R
2010,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2010,Solar,Gigawatt hours,Number,Percent,MBIE,0,F
2010,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1093,R
2010,Solar,Other changes,Dollars,Thousands,Environmental Accounts,31,R
2010,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,90,R
2010,Total generation,Generation,Gigawatt hours,Actual,MBIE,42194,R
2010,Total generation,Prices,Number,Average,Electricity Authority,53,F
2010,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1050616,R
2010,Waste heat,Generation,Gigawatt hours,Actual,MBIE,51,F
2010,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,490453,R
2010,Wind,Generation,Gigawatt hours,Actual,MBIE,1576,F
2010,Wind,Gigawatt hours,Number,Percent,MBIE,4,F
2010,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,344763,R
2010,Wind,Other changes,Dollars,Thousands,Environmental Accounts,145689,R
2010,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,39236,R
2010,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,161015,R
2010,Wood,Generation,Gigawatt hours,Actual,MBIE,517,F
2010,Wood,Gigawatt hours,Number,Percent,MBIE,1,F
2010,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,149572,R
2010,Wood,Other changes,Dollars,Thousands,Environmental Accounts,11443,R
2010,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,12881,R
2011,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,61249,R
2011,Biogas,Generation,Gigawatt hours,Actual,MBIE,215,F
2011,Biogas,Gigawatt hours,Number,Percent,MBIE,0,F
2011,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,68658,R
2011,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-7409,R
2011,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,4900,R
2011,Coal,Generation,Gigawatt hours,Actual,MBIE,1635,F
2011,Gas,Generation,Gigawatt hours,Actual,MBIE,8801,R
2011,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1652916,R
2011,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5808,F
2011,Geothermal,Gigawatt hours,Number,Percent,MBIE,13,F
2011,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1453871,R
2011,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,199044,R
2011,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,132233,R
2011,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7095027,R
2011,Hydro,Generation,Gigawatt hours,Actual,MBIE,24931,F
2011,Hydro,Gigawatt hours,Number,Percent,MBIE,57,F
2011,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,7530104,R
2011,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-435078,R
2011,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,567602,R
2011,Oil,Generation,Gigawatt hours,Actual,MBIE,1,F
2011,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,9415200,R
2011,Renewable,Generation,Gigawatt hours,Actual,MBIE,33084,F
2011,Renewable,Gigawatt hours,Number,Percent,MBIE,76,F
2011,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,9705226,R
2011,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-290025,R
2011,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,753216,R
2011,Renewable,Resource rent,Number,Percent,Environmental Accounts,76,F
2011,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1100,R
2011,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2011,Solar,Gigawatt hours,Number,Percent,MBIE,0,F
2011,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1125,R
2011,Solar,Other changes,Dollars,Thousands,Environmental Accounts,-25,R
2011,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,88,R
2011,Total generation,Generation,Gigawatt hours,Actual,MBIE,43581,R
2011,Total generation,Prices,Number,Average,Electricity Authority,52,F
2011,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,992185,R
2011,Waste heat,Generation,Gigawatt hours,Actual,MBIE,59,F
2011,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,466214,R
2011,Wind,Generation,Gigawatt hours,Actual,MBIE,1638,F
2011,Wind,Gigawatt hours,Number,Percent,MBIE,4,F
2011,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,490453,R
2011,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-24238,R
2011,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,37297,R
2011,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,138695,R
2011,Wood,Generation,Gigawatt hours,Actual,MBIE,487,F
2011,Wood,Gigawatt hours,Number,Percent,MBIE,1,F
2011,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,161015,R
2011,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-22319,R
2011,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,11096,R
2012,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,67785,R
2012,Biogas,Generation,Gigawatt hours,Actual,MBIE,219,F
2012,Biogas,Gigawatt hours,Number,Percent,MBIE,1,F
2012,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,61249,R
2012,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,6536,R
2012,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5423,R
2012,Coal,Generation,Gigawatt hours,Actual,MBIE,2327,F
2012,Gas,Generation,Gigawatt hours,Actual,MBIE,8268,R
2012,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1843595,R
2012,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5965,F
2012,Geothermal,Gigawatt hours,Number,Percent,MBIE,14,F
2012,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1652916,R
2012,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,190679,R
2012,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,147488,R
2012,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7391445,R
2012,Hydro,Generation,Gigawatt hours,Actual,MBIE,23913,F
2012,Hydro,Gigawatt hours,Number,Percent,MBIE,55,F
2012,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,7095027,R
2012,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,296418,R
2012,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,591316,R
2012,Oil,Generation,Gigawatt hours,Actual,MBIE,2,F
2012,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,10077447,R
2012,Renewable,Generation,Gigawatt hours,Actual,MBIE,32603,F
2012,Renewable,Gigawatt hours,Number,Percent,MBIE,75,F
2012,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,9415200,R
2012,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,662247,R
2012,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,806196,R
2012,Renewable,Resource rent,Number,Percent,Environmental Accounts,75,F
2012,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1316,R
2012,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2012,Solar,Gigawatt hours,Number,Percent,MBIE,0,F
2012,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1100,R
2012,Solar,Other changes,Dollars,Thousands,Environmental Accounts,216,R
2012,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,105,R
2012,Total generation,Generation,Gigawatt hours,Actual,MBIE,43242,R
2012,Total generation,Prices,Number,Average,Electricity Authority,75,F
2012,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1069278,R
2012,Waste heat,Generation,Gigawatt hours,Actual,MBIE,42,F
2012,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,618812,R
2012,Wind,Generation,Gigawatt hours,Actual,MBIE,2002,F
2012,Wind,Gigawatt hours,Number,Percent,MBIE,5,F
2012,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,466214,R
2012,Wind,Other changes,Dollars,Thousands,Environmental Accounts,152598,R
2012,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,49505,R
2012,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,154495,R
2012,Wood,Generation,Gigawatt hours,Actual,MBIE,500,F
2012,Wood,Gigawatt hours,Number,Percent,MBIE,1,F
2012,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,138695,R
2012,Wood,Other changes,Dollars,Thousands,Environmental Accounts,15799,R
2012,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,12360,R
2013,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,65946,R
2013,Biogas,Generation,Gigawatt hours,Actual,MBIE,208,F
2013,Biogas,Gigawatt hours,Number,Percent,MBIE,0,F
2013,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,67785,R
2013,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-1838,R
2013,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5276,R
2013,Coal,Generation,Gigawatt hours,Actual,MBIE,3248,F
2013,Gas,Generation,Gigawatt hours,Actual,MBIE,8269,R
2013,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1933567,R
2013,Geothermal,Generation,Gigawatt hours,Actual,MBIE,6095,F
2013,Geothermal,Gigawatt hours,Number,Percent,MBIE,14,F
2013,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1843595,R
2013,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,89973,R
2013,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,154685,R
2013,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7204094,R
2013,Hydro,Generation,Gigawatt hours,Actual,MBIE,22710,F
2013,Hydro,Gigawatt hours,Number,Percent,MBIE,53,F
2013,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,7391445,R
2013,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-187351,R
2013,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,576328,R
2013,Oil,Generation,Gigawatt hours,Actual,MBIE,5,F
2013,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,10009995,R
2013,Renewable,Generation,Gigawatt hours,Actual,MBIE,31556,F
2013,Renewable,Gigawatt hours,Number,Percent,MBIE,73,F
2013,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,10077447,R
2013,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-67453,R
2013,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,800800,R
2013,Renewable,Resource rent,Number,Percent,Environmental Accounts,73,F
2013,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1583,R
2013,Solar,Generation,Gigawatt hours,Actual,MBIE,5,F
2013,Solar,Gigawatt hours,Number,Percent,MBIE,0,F
2013,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1316,R
2013,Solar,Other changes,Dollars,Thousands,Environmental Accounts,267,R
2013,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,127,R
2013,Total generation,Generation,Gigawatt hours,Actual,MBIE,43111,R
2013,Total generation,Prices,Number,Average,Electricity Authority,81,F
2013,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1094039,R
2013,Waste heat,Generation,Gigawatt hours,Actual,MBIE,33,F
2013,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,633328,R
2013,Wind,Generation,Gigawatt hours,Actual,MBIE,1997,F
2013,Wind,Gigawatt hours,Number,Percent,MBIE,5,F
2013,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,618812,R
2013,Wind,Other changes,Dollars,Thousands,Environmental Accounts,14516,R
2013,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,50666,R
2013,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,171475,R
2013,Wood,Generation,Gigawatt hours,Actual,MBIE,541,F
2013,Wood,Gigawatt hours,Number,Percent,MBIE,1,F
2013,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,154495,R
2013,Wood,Other changes,Dollars,Thousands,Environmental Accounts,16981,R
2013,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,13718,R
2014,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,69069,R
2014,Biogas,Generation,Gigawatt hours,Actual,MBIE,205,F
2014,Biogas,Gigawatt hours,Number,Percent,MBIE,0,F
2014,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,65946,R
2014,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,3123,R
2014,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5526,R
2014,Coal,Generation,Gigawatt hours,Actual,MBIE,2012,F
2014,Gas,Generation,Gigawatt hours,Actual,MBIE,7590,R
2014,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2238687,R
2014,Geothermal,Generation,Gigawatt hours,Actual,MBIE,6629,F
2014,Geothermal,Gigawatt hours,Number,Percent,MBIE,16,F
2014,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1933567,R
2014,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,305120,R
2014,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,179095,R
2014,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7832948,R
2014,Hydro,Generation,Gigawatt hours,Actual,MBIE,23194,F
2014,Hydro,Gigawatt hours,Number,Percent,MBIE,55,F
2014,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,7204094,R
2014,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,628854,R
2014,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,626636,R
2014,Oil,Generation,Gigawatt hours,Actual,MBIE,3,F
2014,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,11027050,R
